Folder Number,Particle,Energy,Position,Direction,Run number,Silicon_2 enter location,Silicon_1 enter location,Scint_1 enter location,Scint_2 enter location,Number of photons created,Number of electron-hole pairs created in Silicon_1,Number of electron-hole pairs created in Silicon_2,Photons absorbed in Scint_1 Top-Left,Photons absorbed in Scint_1 Bottom-Right,Photons absorbed in Scint_1 Top-Right,Photons absorbed in Scint_1 Bottom-Left,Photons absorbed in Scint_2 Top-Left,Photons absorbed in Scint_2 Bottom-Right,Photons absorbed in Scint_2 Top-Right,Photons absorbed in Scint_2 Bottom-Left
34,mu-,1000,"(-1, -1, -4)","(0, 0, 1)",1,"(-10,-10,-3.2)","(-9.9966,-10.0015,9.6)","(-9.99524,-10.0047,22.4)","(-9.97322,-10.0116,35.2)",61591.0,0,0,265,251,378,203,258,154,177,138
35,mu-,1000,"(-1, -1, -4)","(1, 1, 1)",1,"(26.8,26.8,-3.2)",None,None,None,19682.0,0,0,3889,230,220,232,0,0,0,0
36,mu-,1000,"(-1, -1, -4)","(-1, -1, 1)",1,None,None,None,None,0.0,0,0,0,0,0,0,0,0,0,0
37,e+,1000,"(0, 0, -4)","(0, 0, 1)",1,"(0,0,-3.2)","(0.00620367,0.00316869,9.6)","(0.0192788,0.0219248,22.4)","(0.0342981,0.0196224,35.2)",63285.0,0,0,256,254,240,269,207,205,212,176
38,e+,1000,"(0, 0, -4)","(1, 1, 1)",1,None,None,None,None,0.0,0,0,0,0,0,0,0,0,0,0
39,e+,1000,"(0, 0, -4)","(-1, -1, 1)",1,None,None,None,None,0.0,0,0,0,0,0,0,0,0,0,0
40,e+,1000,"(1, 1, -4)","(0, 0, 1)",1,"(10,10,-3.2)","(10.0074,9.99514,9.6)","(10.0225,10.0179,22.4)","(10.0468,10.0548,35.2)",101879.0,0,0,186,256,224,377,294,300,456,229
41,e+,1000,"(1, 1, -4)","(1, 1, 1)",1,None,None,None,None,0.0,0,0,0,0,0,0,0,0,0,0
42,e+,1000,"(1, 1, -4)","(-1, -1, 1)",1,"(-26.8,-26.8,-3.2)",None,None,None,17990.0,0,0,3724,238,220,189,0,0,0,0
43,e+,1000,"(-1, -1, -4)","(0, 0, 1)",1,"(-10,-10,-3.2)","(-9.98265,-10.0137,9.6)","(-9.97726,-10.0058,22.4)","(-9.9711,-9.98552,35.2)",57958.0,0,0,357,254,268,194,359,207,250,245
44,e+,1000,"(-1, -1, -4)","(1, 1, 1)",1,"(26.8,26.8,-3.2)",None,None,None,17454.0,0,0,3553,185,228,165,0,0,0,0
45,e+,1000,"(-1, -1, -4)","(-1, -1, 1)",1,None,None,None,None,0.0,0,0,0,0,0,0,0,0,0,0
46,"ion - (2, 4, 2)",1000,"(0, 0, -4)","(0, 0, 1)",1,"(0,0,-3.2)","(-0.0285733,0.00182178,9.6)","(-0.0779817,0.000798202,22.4)","(-0.115859,0.0312392,35.2)",517845.0,0,0,2261,2284,2393,2411,2055,1859,1974,1908
47,"ion - (2, 4, 2)",1000,"(0, 0, -4)","(1, 1, 1)",1,None,None,None,None,0.0,0,0,0,0,0,0,0,0,0,0
48,"ion - (2, 4, 2)",1000,"(0, 0, -4)","(-1, -1, 1)",1,None,None,None,None,0.0,0,0,0,0,0,0,0,0,0,0
49,"ion - (2, 4, 2)",1000,"(1, 1, -4)","(0, 0, 1)",1,"(10,10,-3.2)","(9.99446,10.0037,9.6)","(9.97592,10.0014,22.4)","(9.94944,9.97304,35.2)",522745.0,0,0,2299,3544,1826,2387,1920,2896,1882,1432
50,"ion - (2, 4, 2)",1000,"(1, 1, -4)","(1, 1, 1)",1,None,None,None,None,0.0,0,0,0,0,0,0,0,0,0,0
51,"ion - (2, 4, 2)",1000,"(1, 1, -4)","(-1, -1, 1)",1,"(-26.8,-26.8,-3.2)",None,None,None,185200.0,0,0,2000,39686,2246,2159,0,0,0,0
53,"ion - (2, 4, 2)",1000,"(-1, -1, -4)","(1, 1, 1)",1,"(26.8,26.8,-3.2)",None,None,None,170341.0,0,0,35142,1735,2091,2044,0,0,0,0
54,"ion - (2, 4, 2)",1000,"(-1, -1, -4)","(-1, -1, 1)",1,None,None,None,None,0.0,0,0,0,0,0,0,0,0,0,0
Total time for simulation: ,0.06581282615661621, (seconds)
Total runs: ,53
