x,y,degrees,total_pmt,total_created,total_created_measured
-3.0,-3.0,91.90486656403579,1922.7,8076.6,8082.184094333985
-3.0,-2.8000000000000003,72.86621861022546,1532.1000000000001,8076.7,8123.002767304241
-3.0,-2.6,58.55961080072921,1235.1,8081.2,8148.162115019003
-3.0,-2.4000000000000004,48.93909572126325,1027.0,8084.5,8107.187629441379
-3.0,-2.2,42.51214116126158,892.3999999999999,8098.8,8109.6535920113565
-3.0,-2.0,38.09981783331909,809.3000000000001,8081.9,8206.205005880725
-3.0,-1.8,34.97356360598829,736.2,8080.0,8132.26734488481
-3.0,-1.6,32.69874365330925,688.4,8080.0,8133.276110788269
-3.0,-1.4000000000000001,31.011170847898395,659.1999999999999,8082.9,8212.109962855313
-3.0,-1.2000000000000002,29.74519024158909,628.7,8103.1,8165.493369387088
-3.0,-1.0,28.79379412969564,600.4000000000001,8073.8,8055.592880312805
-3.0,-0.8,28.086279884485805,591.3,8096.2,8133.348485093827
-3.0,-0.6000000000000001,27.575419519813185,585.6,8079.3,8204.1701865784
-3.0,-0.4,27.229916540525448,577.9,8083.4,8199.023010512527
-3.0,-0.2,27.029923794668882,570.7,8095.7,8156.780438653837
-3.0,0.0,26.964435354191227,561.0,8085.8,8037.615964506109
-3.0,0.2,27.029923794668882,560.4,8075.0,8009.566773824445
-3.0,0.4,27.229916540525448,578.1,8084.7,8201.860533617048
-3.0,0.6000000000000001,27.575419519813185,579.1,8064.4,8113.106139083934
-3.0,0.8,28.086279884485805,588.6,8075.6,8096.209907536322
-3.0,1.0,28.79379412969564,610.0,8075.3,8184.396497319804
-3.0,1.2000000000000002,29.745190241589093,621.9,8061.0,8077.175642471495
-3.0,1.4000000000000001,31.01117084789839,660.5,8084.3,8228.30496126507
-3.0,1.6,32.69874365330925,705.4,8090.4,8334.126915383562
-3.0,1.8,34.97356360598828,750.9000000000001,8096.3,8294.647581192618
-3.0,2.0,38.09981783331909,814.9000000000001,8090.6,8262.988334724087
-3.0,2.2,42.51214116126158,919.9,8101.8,8359.558874149761
-3.0,2.4000000000000004,48.93909572126325,1063.2,8088.7,8392.952178794621
-3.0,2.6,58.55961080072921,1276.1999999999998,8081.0,8419.305717097603
-3.0,2.8000000000000003,72.86621861022546,1585.3,8080.4,8405.062520075331
-3.0,3.0,91.90486656403579,2014.0,8083.9,8465.969088255395
-2.8000000000000003,-3.0,72.86621861022546,1518.3,8064.1,8049.836891585424
-2.8000000000000003,-2.8000000000000003,64.48404040187096,1361.5,8085.8,8156.824632322791
-2.8000000000000003,-2.6,55.80659396507443,1174.8,8103.0,8132.688567402053
-2.8000000000000003,-2.4000000000000004,48.669298696855606,1033.8,8074.9,8206.106718404084
-2.8000000000000003,-2.2,43.24162264561305,918.7,8085.5,8207.813030250183
-2.8000000000000003,-2.0,39.19904665222124,824.4,8080.7,8124.90327150295
-2.8000000000000003,-1.8,36.18356100525706,753.0,8078.9,8039.69163399008
-2.8000000000000003,-1.6,33.91550580270445,708.9000000000001,8070.7,8074.9975461518
-2.8000000000000003,-1.4000000000000001,32.19592672632461,670.3000000000001,8090.6,8043.110033520079
