x,y,degrees,total_pmt,total_created,total_created_measured
-3.0,-3.0,91.90486656403579,1922.7,8076.6,7531.396604745855
-3.0,-2.8000000000000003,72.86621861022546,1532.1000000000001,8076.7,7569.4335526092345
-3.0,-2.6,58.55961080072921,1235.1,8081.2,7592.878332355023
-3.0,-2.4000000000000004,48.93909572126325,1027.0,8084.5,7554.696190255975
-3.0,-2.2,42.51214116126158,892.3999999999999,8098.8,7556.994101552004
-3.0,-2.0,38.09981783331909,809.3000000000001,8081.9,7646.965696124932
-3.0,-1.8,34.97356360598829,736.2,8080.0,7578.066764538126
-3.0,-1.6,32.69874365330925,688.4,8080.0,7579.006784712328
-3.0,-1.4000000000000001,31.011170847898395,659.1999999999999,8082.9,7652.468240040103
-3.0,-1.2000000000000002,29.74519024158909,628.7,8103.1,7609.028490379175
-3.0,-1.0,28.79379412969564,600.4000000000001,8073.8,7506.617538016159
-3.0,-0.8,28.086279884485805,591.3,8096.2,7579.074226828567
-3.0,-0.6000000000000001,27.575419519813185,585.6,8079.3,7645.0695463953625
-3.0,-0.4,27.229916540525448,577.9,8083.4,7640.273141872267
-3.0,-0.2,27.029923794668882,570.7,8095.7,7600.909331476597
-3.0,0.0,26.964435354191227,561.0,8085.8,7489.865719313431
-3.0,0.2,27.029923794668882,560.4,8075.0,7463.728034623243
-3.0,0.4,27.229916540525448,578.1,8084.7,7642.917292466444
-3.0,0.6000000000000001,27.575419519813185,579.1,8064.4,7560.21136324719
-3.0,0.8,28.086279884485805,588.6,8075.6,7544.466581957205
-3.0,1.0,28.79379412969564,610.0,8075.3,7626.643401382173
-3.0,1.2000000000000002,29.745190241589093,621.9,8061.0,7526.729470600935
-3.0,1.4000000000000001,31.01117084789839,660.5,8084.3,7667.559576071737
-3.0,1.6,32.69874365330925,705.4,8090.4,7766.169938896101
-3.0,1.8,34.97356360598828,750.9000000000001,8096.3,7729.381056087585
-3.0,2.0,38.09981783331909,814.9000000000001,8090.6,7699.879334946506
-3.0,2.2,42.51214116126158,919.9,8101.8,7789.868751700683
-3.0,2.4000000000000004,48.93909572126325,1063.2,8088.7,7820.98635781904
-3.0,2.6,58.55961080072921,1276.1999999999998,8081.0,7845.543946037956
-3.0,2.8000000000000003,72.86621861022546,1585.3,8080.4,7832.271399354755
-3.0,3.0,91.90486656403579,2014.0,8083.9,7889.027285566211
-2.8000000000000003,-3.0,72.86621861022546,1518.3,8064.1,7501.253810408329
-2.8000000000000003,-2.8000000000000003,64.48404040187096,1361.5,8085.8,7600.950513420045
-2.8000000000000003,-2.6,55.80659396507443,1174.8,8103.0,7578.459281436922
-2.8000000000000003,-2.4000000000000004,48.669298696855606,1033.8,8074.9,7646.874106777396
-2.8000000000000003,-2.2,43.24162264561305,918.7,8085.5,7648.464136290997
-2.8000000000000003,-2.0,39.19904665222124,824.4,8080.7,7571.204540587532
-2.8000000000000003,-1.8,36.18356100525706,753.0,8078.9,7491.799935352276
-2.8000000000000003,-1.6,33.91550580270445,708.9000000000001,8070.7,7524.699807945953
-2.8000000000000003,-1.4000000000000001,32.19592672632461,670.3000000000001,8090.6,7494.9853766034785
-2.8000000000000003,-1.2000000000000002,30.886957390984595,643.0999999999999,8068.0,7495.59100526929
-2.8000000000000003,-1.0,29.893419343495818,623.1,8079.3,7503.858873501752
-2.8000000000000003,-0.8,29.14950465467765,612.4,8077.4,7563.216000125817
-2.8000000000000003,-0.6000000000000001,28.609853174435052,605.5,8083.1,7619.05343138149
-2.8000000000000003,-0.4,28.243749738469674,589.0,8078.6,7507.501729176875
-2.8000000000000003,-0.2,28.031432859873412,586.0,8069.5,7525.83719335968
-2.8000000000000003,0.0,27.961846691894024,583.3,8099.8,7509.804424357791
-2.8000000000000003,0.2,28.031432859873412,586.9,8095.5,7537.395646387023
-2.8000000000000003,0.4,28.243749738469674,596.5,8098.0,7603.098100940588
-2.8000000000000003,0.6000000000000001,28.609853174435056,610.2,8087.9,7678.193895671321
-2.8000000000000003,0.8,29.14950465467765,614.6,8082.7,7590.386273150438
-2.8000000000000003,1.0,29.893419343495818,631.1,8067.4,7600.20114759582
